СountryID|CountryName
0|Австрия
1|Азербайджан
2|Армения
3|Бангладеш
4|Беларусь
5|Босния и Герцеговина
6|Бразилия
7|Великобритания
8|Венгрия
9|Германия
10|Грузия
11|Дания
12|Израиль
13|Индия
14|Казахстан
15|Киргизия
16|Латвия
17|Литва
18|Молдова
19|Неизвестно
20|Нидерланды
21|Норвегия
22|Объединённые Арабские Эмираты
23|Польша
24|Россия
25|США
26|Сербия
27|Сингапур
28|Таджикистан
29|Турция
30|Узбекистан
31|Украина
32|Финляндия
33|Франция
34|Хорватия
35|Черногория
36|Швейцария
37|Швеция
38|Эстония
39|Япония
40|Болгария
41|Италия
42|Канада
43|Словения
44|Чехия
45|ЮАР
46|Бельгия
47|Испания
48|Греция
49|Китай
50|Албания
51|Кипр
52|Таиланд
53|Тайвань
54|Словакия
55|Южная Корея
56|Вьетнам
57|Австралия
58|Люксембург
59|Алжир
60|Мексика
61|Сирия
62|Исландия
63|Перу
64|Румыния
65|Шри-Ланка
66|Ангола
67|Сент-Люсия
68|Никарагуа
69|Египет
70|Филиппины
71|Ирландия
72|Гибралтар
73|Мальдивы
74|Индонезия
75|Португалия
76|Чили
77|Аргентина
78|Уругвай
79|Куба
80|Центральноафриканская республика
81|Марокко
82|Катар
83|Ливан
84|Малайзия
85|Венесуэла
86|Ирак
87|Саудовская Аравия
88|Палестина
89|Пакистан
90|Доминиканская Республика
91|Монголия
92|Сейшельские острова
93|Непал
94|Колумбия
95|Кения
96|Иран
97|Панама
98|Уганда
99|Камбоджа
100|Монако
101|Новая Зеландия
102|Нигерия
103|Туркменистан
104|Эквадор
105|Либерия
106|Северная Македония
107|Андорра
108|Иордания
109|Барбадос
110|Кот-д’Ивуар
111|Аруба
112|Ямайка
113|Маврикий
114|Мали
115|Руанда
116|Лихтенштейн
117|Замбия
118|Малави
119|Багамские острова
120|Бутан
121|Боливия
122|Британские Виргинские острова
123|Камерун
